年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,年号甲,年号乙,年号丙
公元前八百二十四年,-824,丁丑,牛,周朝,西周,,西周宣王姬静,,宣王四年,,
公元前八百二十三年,-823,戊寅,虎,周朝,西周,,西周宣王姬静,,宣王五年,,
公元前八百二十二年,-822,己卯,兔,周朝,西周,,西周宣王姬静,,宣王六年,,
公元前八百二十一年,-821,庚辰,龙,周朝,西周,,西周宣王姬静,,宣王七年,,
公元前八百二十年,-820,辛巳,蛇,周朝,西周,,西周宣王姬静,,宣王八年,,
公元前八百一十九年,-819,壬午,马,周朝,西周,,西周宣王姬静,,宣王九年,,
公元前八百一十八年,-818,癸未,羊,周朝,西周,,西周宣王姬静,,宣王十年,,
公元前八百一十七年,-817,甲申,猴,周朝,西周,,西周宣王姬静,,宣王十一年,,
公元前八百一十六年,-816,乙酉,鸡,周朝,西周,,西周宣王姬静,,宣王十二年,,
公元前八百一十五年,-815,丙戌,狗,周朝,西周,,西周宣王姬静,,宣王十三年,,
公元前八百一十四年,-814,丁亥,猪,周朝,西周,,西周宣王姬静,,宣王十四年,,
公元前八百一十三年,-813,戊子,鼠,周朝,西周,,西周宣王姬静,,宣王十五年,,
公元前八百一十二年,-812,己丑,牛,周朝,西周,,西周宣王姬静,,宣王十六年,,
公元前八百一十一年,-811,庚寅,虎,周朝,西周,,西周宣王姬静,,宣王十七年,,
公元前八百一十年,-810,辛卯,兔,周朝,西周,,西周宣王姬静,,宣王十八年,,
公元前八百零九年,-809,壬辰,龙,周朝,西周,,西周宣王姬静,,宣王十九年,,
公元前八百零八年,-808,癸巳,蛇,周朝,西周,,西周宣王姬静,,宣王二十年,,
公元前八百零七年,-807,甲午,马,周朝,西周,,西周宣王姬静,,宣王二十一年,,
公元前八百零六年,-806,乙未,羊,周朝,西周,,西周宣王姬静,,宣王二十二年,,
公元前八百零五年,-805,丙申,猴,周朝,西周,,西周宣王姬静,,宣王二十三年,,
公元前八百零四年,-804,丁酉,鸡,周朝,西周,,西周宣王姬静,,宣王二十四年,,
